communityname,state,population,householdsize,pctUrban,medIncome,pctWSocSec,pctWRetire,whitePerCap,blackPerCap,AsianPerCap,HispPerCap,PctPopUnderPov,PctNotHSGrad,PctUnemployed,TotalPctDiv,PersPerFam,PctWorkMom,NumImmig,PctImmigRecent,PctNotSpeakEnglWell,RentMedian,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,LandArea,PopDens,PctUsePubTrans,murders,robberies,assaults,burglaries,larcenies,autoTheft,arsons
SanMarinocity,CA,12959,3.01,100,100077,27.52,14.37,59612,60000,29791,28906,3.88,4.77,2.81,4.4,3.23,57.48,3708,15.75,5.21,1001,0,0,28.61,40.64,3.9,3322.8,0.99,0,17,10,101,151,15,4
Inglewoodcity,CA,109602,3.04,100,29881,16.07,10.45,13089,14437,14370,6504,16.47,34,10,15.42,3.62,67.29,31670,21.64,14.03,556,10,95,28.9,39.84,9.5,11537.1,7.5,45,1329,858,1561,2251,2290,60
Nilescity,OH,21128,2.5,100,25547,33.55,19.77,11906,14637,4948,8627,12.66,28.16,7.01,12.04,3.05,59.83,476,3.99,0.55,282,0,0,2.25,74.47,8.8,2404.8,0.34,0,13,78,128,700,83,0
SouthPasadenacity,CA,23936,2.34,100,43043,17.58,10.13,27886,29668,22825,16887,5,8.37,2.55,12.3,3.05,65.11,5609,12.93,4.34,643,0,0,23.43,44.91,3.6,6731.2,1.71,0,57,26,213,405,242,47
Piscatawaytownship,NJ,47089,3.36,100,50451,16.99,12.04,18294,15764,13708,13225,2.88,15.72,4.6,6.83,3.31,74.08,8621,16.51,3.15,604,0,0,18.31,53.25,19.5,2419.6,5.88,0,44,102,372,802,114,3
Everettcity,MA,35701,2.46,100,30786,31.65,18.34,14344,13670,11018,8166,9.6,27.07,7.59,9.73,3.05,59.4,4039,15.42,3.18,521,0,0,11.31,79.86,3.5,10186.3,17.59,1,56,510,334,707,419,0
Hudsontown,MA,17233,2.71,95.07,45191,23.15,13.53,18268,30545,15923,11526,3.61,22.95,5.46,7.89,3.19,72.85,2463,6.9,4.32,531,0,0,14.29,67.92,11.9,1445.6,0.6,0,0,25,57,167,18,0
BethelParkborough,PA,33823,2.66,100,41149,28.84,20.65,17657,10792,22737,10268,3.81,10.34,3.78,6.35,3.08,61.13,794,4.79,0.33,458,0,0,2.35,79.85,12.1,2793.2,11.79,0,8,9,56,294,75,2
Amesburytown,MA,14997,2.72,4.89,37889,25.23,16.18,15507,7119,26716,16295,6.25,20.07,8.27,10.59,3.13,70.49,514,5.45,0.55,543,19,0,3.4,74.92,12.9,1166.8,0.84,0,0,90,84,218,43,0
Uxbridgetown,MA,10415,2.76,60.25,40059,29.39,16.88,16591,26000,0,0,5.87,23.43,6.65,7.42,3.2,73.74,235,4.26,0.1,461,0,0,2.26,76.25,30.6,340.2,0.26,0,1,59,38,67,4,0
Northboroughtown,MA,11929,2.94,80.58,57963,16.25,10.85,22806,45728,20694,24615,2.82,10.11,4.57,7.29,3.26,70.49,935,14.65,1.07,615,0,0,7.84,66.98,19.2,621.2,0.61,0,1,25,37,115,13,1
Springdalecity,OH,10621,2.51,100,38128,24.6,17.85,17301,17696,18331,9541,4.01,17.83,3.59,10.63,2.99,74.4,279,15.41,1.07,473,0,0,2.63,59.38,5.1,2081.4,1.17,0,16,12,79,1056,41,1
PalosVerdesEstatescity,CA,13512,2.73,100,101320,23.8,18.7,51082,55253,46137,20133,2.25,3.98,3.56,5.34,2.96,49.59,2233,19.3,2.96,1001,0,0,16.53,39.01,5,2713.3,0.88,0,0,12,90,135,12,2
Williamsportcity,PA,31933,2.54,100,20290,32.28,15.79,10526,6834,13960,6208,21.12,27.68,9.51,13.61,3.05,63.99,367,17.17,0.43,248,68,0,1.15,86.42,9.2,3468.4,5.42,2,48,43,439,1477,66,14
Coppellcity,TX,16881,2.81,0,58815,4.82,5.5,23448,15706,15351,15721,2.51,5.29,2.28,9.15,3.14,70.69,1251,16.15,1.34,535,0,0,7.37,46.37,15.3,1106.5,0.72,2,1,8,191,353,10,2
GrossePointeWoodscity,MI,17715,2.7,100,55657,33.51,22.76,27021,0,25777,49433,1.74,8.42,2.21,5.22,3.08,60.2,1383,4.63,0.74,608,0,0,7.81,76.96,3.4,5241.1,1.73,0,10,1,21,294,31,0
Pomonacity,CA,131723,3.61,100,32132,18.05,11.02,12191,10359,10714,6930,18.43,40.4,9.08,11.11,3.96,57.38,41589,20.77,17.57,527,211,6,31.57,45.96,23.6,5570.2,3.24,40,995,1237,2282,3721,1840,389
GreenOaktownship,MI,11604,2.98,0,47421,20.42,16.27,17818,240,14972,6946,2.87,12.96,4.31,7.69,3.19,76.05,334,7.19,0.7,460,3,0,2.88,77.72,35.9,322.8,0,0,1,15,76,179,17,3
Eastontown,MA,19807,3.08,74.01,50647,19.95,12.92,19095,16222,16314,14693,4,9.74,4.71,6.73,3.29,72.82,773,7.5,0.6,657,0,0,3.9,79.27,29.5,672.2,3.26,0,11,18,150,229,89,0
Beltoncity,TX,12476,2.96,100,18549,27.48,16.99,10710,5398,3366,4774,25.98,37.61,8.72,12.03,3.25,65.14,707,21.22,2.95,220,0,0,5.67,70.99,11.2,1118.3,0.24,0,10,24,84,316,21,1
Lakewoodtownship,NJ,45048,2.75,97.87,29211,40.55,20.68,13994,9428,12153,8242,16.09,27.3,7.29,8.54,3.37,62,4749,9.83,2.97,513,101,5,10.54,50.09,25.7,1751.5,3.9,3,126,118,723,1675,208,39
GroveCitycity,OH,19661,2.66,100,34350,22.32,18.52,14164,12976,2992,15884,5.82,18.75,3.23,11.76,3.06,75.78,152,8.55,0.25,373,0,0,0.77,78.58,10.5,1879.5,1.69,0,16,5,79,612,51,0
Pennsaukentownship,NJ,34738,2.8,100,36097,31.45,18.78,15315,12692,14573,9411,5.46,25.15,4.26,9.35,3.25,65.91,1440,3.75,1.04,430,0,0,4.15,53.24,10.9,3181.5,5.23,2,130,66,584,791,571,7
Perrysburgcity,OH,12551,2.61,100,44277,25.36,18.46,21193,20769,10221,29565,2.12,9.53,3.98,7.36,3.17,66.72,241,4.15,0.15,373,0,0,1.92,70.27,4.8,2599.8,1.52,0,1,2,46,305,15,0
Veronatownship,NJ,13597,2.47,100,55248,35.78,19.75,27254,19172,30577,14689,1.73,10.5,2.54,6.58,3.01,61.62,939,11.5,0.61,627,0,0,6.91,67.89,2.9,4770.2,6.56,0,8,17,43,194,34,0
Azusacity,CA,41333,3.27,100,31889,18.64,11.69,12123,11670,11956,8029,14.28,37.27,8.28,12.21,3.65,62.26,12198,21.36,14.45,585,0,0,29.51,49.42,9.3,4433,2.57,4,101,163,565,883,345,12
UpperChichestertownship,PA,15004,2.8,100,40216,27.49,16.83,15075,15250,3370,15101,4.15,21.62,2.91,9.52,3.29,70.49,273,2.2,0.52,501,0,0,1.82,83.15,7,2156.5,1.47,0,18,21,61,317,73,3
Englewoodcity,NJ,24850,2.77,100,46758,27.46,13.31,38000,14500,15917,11594,8.42,19.9,5.32,11.38,3.23,67.48,6166,14.63,6.88,528,21,0,24.81,28.1,5.1,4870.3,15.52,1,69,77,323,694,131,1
Daytoncity,OH,182044,2.51,100,19779,28.83,19.55,11312,8015,9861,9876,26.53,31.66,10.39,17.53,3.1,58.68,2606,12.24,0.37,253,406,5,1.43,67.44,57,3194.8,7.48,49,1475,1129,4303,9473,2939,260
SanLeandrocity,CA,68223,2.34,100,35681,33.34,25.21,18275,17918,15409,13156,4.98,20.55,5.29,13.18,2.92,71.51,11718,11.7,3.99,608,17,5,17.18,54.37,13.6,5022.3,9.39,5,358,244,851,3408,706,29
WestWhitelandtownship,PA,12403,2.7,97.55,50598,15.66,11.26,21617,15712,25288,17448,1.55,6.44,3.06,7.87,3.09,58.9,558,14.87,0.22,585,0,0,4.5,60.79,13.4,923.7,4.03,0,3,5,45,408,55,2
Collingswoodborough,NJ,15289,2.39,100,33026,30.49,18.83,15727,12685,12488,9075,6.09,17.6,3.63,11.82,3.11,71.74,727,21.32,1.13,490,0,0,4.75,53.42,1.9,8070.6,14.45,0,27,32,152,405,136,2
LosAltoscity,CA,26303,2.67,100,79579,29.12,21.12,39012,9399,28003,23462,1.23,4.3,2.87,7.25,2.94,67.39,3459,7.31,1.01,1001,8,0,13.15,44.12,6.6,3985.3,1.49,0,9,15,208,332,18,11
Milpitascity,CA,50686,3.6,100,55730,11.41,12.52,19154,15339,16529,11426,4.9,19.05,4.86,11.8,3.63,74.75,15598,15.11,6.95,802,0,0,30.77,42.19,14.3,3556.4,3.02,0,62,104,408,1685,213,4
Middletowntownship,NJ,68183,3.01,99.52,54053,26.88,17.24,22043,13085,25028,20620,2.43,15.09,4.65,5.9,3.34,63.71,4759,6.01,0.8,625,0,0,6.98,55.66,42.6,1600.5,9.72,0,13,31,231,846,44,1
SanRafaelcity,CA,48404,2.39,100,41922,24.16,16.35,26557,15665,17163,9180,8.08,11.04,4.77,14.02,2.85,70.1,10338,24.35,7.78,691,170,16,21.36,44.63,17.2,2816.8,12.1,2,80,182,512,1943,308,24
ElPasocity,TX,515342,3.21,99.97,23460,21.77,16.12,10352,9929,9542,6538,25.32,34.67,9.85,11.54,3.63,57.49,120432,13.59,14.73,303,359,95,23.37,51.27,254.2,2027.3,3.13,47,1561,4220,5643,29440,5546,461
Pembroketown,MA,14544,3.12,42.9,46932,21.69,14.26,16503,18717,14902,8268,4.11,12.83,7.29,7.51,3.45,70.73,385,3.12,0.23,440,0,0,2.65,85.98,22.6,642.6,1.79,0,4,41,71,248,35,0
Northbridgetown,MA,13371,2.81,76.34,36634,30.12,16.28,14163,16163,10507,14186,5.86,26.99,7.65,8.68,3.19,73.2,508,1.18,0.59,456,0,0,3.8,78.78,17.8,750.7,0.25,0,1,90,53,163,12,0
Bergenfieldborough,NJ,24458,2.78,100,45713,32.46,19.12,19198,16165,16890,13643,3.34,17.66,5.04,7.04,3.21,70.84,5045,10.78,3.39,647,19,0,20.63,43.25,3,8160.3,11.71,0,12,26,110,312,25,1
SpringGardentownship,PA,11207,2.72,96.05,37044,36.68,19.63,21780,10037,20809,8527,4.73,16.3,2.8,6.47,2.84,80.26,253,7.51,0.69,354,0,0,2.26,74.33,6.9,1627.4,0.63,0,6,1,45,321,6,1
LomaLindacity,CA,17400,2.89,100,33265,21.36,14.48,16304,15134,14763,9076,11.76,16.78,4.72,10.65,3.15,64.01,5084,15.64,6.09,470,35,21,29.22,36.4,7.2,2402,1.19,1,30,32,306,527,258,2
Hurstcity,TX,33574,2.63,100,37473,18.96,14.34,17122,8552,11392,9639,7.77,13.94,5.45,12.72,3.01,73.77,1243,15.12,1,379,0,0,3.7,56.13,10.2,3283.8,0.1,2,63,208,375,1783,200,7
Brawleycity,CA,18923,3.27,0,22365,23.34,12.54,10105,8318,13179,6396,24.31,48.61,14.81,10.98,3.71,51.42,4515,10.68,14.8,285,0,8,23.86,60.05,5.1,3675.8,0.7,1,38,174,437,758,78,16
Oregoncity,OH,18334,2.67,100,34704,28.51,21.69,14448,10061,35889,11051,7.67,24.14,6.57,9.32,3.11,69.47,476,1.05,0.66,324,0,0,2.6,80.99,30.2,606.1,0.18,0,34,33,134,759,97,7
Freeportcity,TX,11389,3.01,0,21483,23.82,11.61,10592,6094,0,6171,24.2,41.9,9.57,13.03,3.51,52.4,1268,6.47,6.47,259,5,0,11.15,67.55,11.9,959,0.14,0,11,61,140,411,84,6
Penntownship,PA,15945,2.91,69.81,33219,29.17,19.78,13614,3824,14722,3976,3.75,17.69,5.87,4.98,3.22,63.46,188,0,0.49,288,0,0,1.18,88.92,31.4,507.3,0.62,0,5,2,59,331,18,7
LowerMorelandtownship,PA,11768,2.83,100,60925,29.06,15.96,30510,4604,18662,8131,2.33,8.97,2.72,3.91,3.19,61.54,1039,7.03,1.47,412,0,0,8.83,77.78,7.5,1561.2,5.31,0,3,6,55,157,39,1
Manheimtownship,PA,28880,2.71,90.75,41450,29.92,19.62,19965,11252,13279,9682,2.42,17.21,2.34,6.78,2.97,68.51,980,7.65,0.68,487,0,0,3.39,72.61,24.9,1162.1,1.29,0,18,18,98,736,43,3
SanBernardinocity,CA,164164,3.01,100,25533,23.34,15.9,13068,7947,7815,7167,22.79,31.91,10.69,15.47,3.43,55.83,25392,21.04,8.34,422,828,133,15.47,51.89,57.1,2876.8,1.72,82,1550,3805,4740,8410,3596,144
WestHollywoodcity,CA,36118,1.6,100,29314,19.97,7.08,24865,17011,30141,15233,11.43,15.06,7.04,15.57,2.53,63.96,12282,21.28,7.53,573,14,142,34.01,20.21,1.9,18541.1,5.98,5,485,352,675,1838,869,20
TheColonycity,TX,22113,3.27,0,42743,6.38,5.44,14592,11297,10021,9313,2.85,10.07,4.49,8.47,3.51,76.89,1123,6.95,1.61,534,0,0,5.06,48.16,12.1,1825.7,0.48,0,5,32,168,527,43,25
Lowellcity,MA,103439,2.79,100,29351,26.31,14.28,14110,9497,6619,6311,17.99,34.21,10.68,10.84,3.3,64.18,16998,15.37,6.99,494,182,50,16.43,69.08,14.3,7247.1,2.95,6,302,874,2244,3126,1961,166
LaPortecity,TX,27910,3.05,100,41733,14.4,9.89,15061,9986,12042,9352,8.82,18.36,5.22,12.2,3.38,64.02,1219,8.12,1.33,358,0,0,4.37,62.3,20,1397.2,0.05,1,15,83,182,517,78,5
Victoriacity,TX,55076,2.78,100,25576,25.11,12.58,14020,7328,12904,6751,18.88,29.31,6.83,12.03,3.28,64.34,1776,9.52,3.86,278,7,3,3.23,82.38,31.2,1765,0.1,4,82,469,1116,3049,246,21
Yarmouthtown,MA,21174,2.21,99.32,27222,47.46,31.07,15241,4386,6874,7391,9.5,14.01,7.93,9.84,2.69,69.24,1100,14.18,0.6,598,12,0,5.19,68.43,25.1,842.7,0.84,0,9,82,280,592,56,7
Soloncity,OH,18548,2.93,100,54005,23.65,15.98,22325,20352,33388,11889,2.48,11.44,2.32,5.53,3.26,63.55,1043,1.44,0.77,550,0,0,5.62,67.75,21.2,877,0.66,0,5,7,50,304,40,0
Camdencity,NJ,87492,3.29,100,17386,24.94,12.29,9803,6965,6441,6003,36.56,50.33,16.3,16.34,3.71,54.73,3436,25.7,7.12,323,293,122,3.93,55.54,9.1,9575.4,18.34,42,1654,1155,4039,3926,1816,306
Cranberrytownship,PA,14816,2.85,0,41006,17.65,12.32,16438,36008,10084,27847,2.54,9.51,4.56,7.53,3.24,63.18,221,11.76,0.17,471,0,0,1.49,81.12,23.6,627.3,0.53,0,0,0,32,184,24,0
ElMontecity,CA,106209,4.06,100,28034,17.57,10.32,8292,8583,9568,6500,22.51,55.72,9.4,9.9,4.24,51.27,51424,21.44,29.27,541,287,152,48.42,40.11,9.8,10789.2,6.47,19,625,698,1357,2184,1199,74
Austincity,TX,465622,2.42,100,25414,14.21,10.26,16885,8863,8517,8034,17.93,17.67,6.32,13.62,3.09,73.16,39626,21.21,3.55,346,478,60,8.51,60.91,225.6,2063.8,5.04,37,1555,1148,8453,35647,4357,610
OldBridgetownship,NJ,56475,2.83,97.18,47482,19.49,14.19,19122,17186,16397,14001,3.47,16.79,4.49,7.65,3.24,63.56,6641,12.89,1.68,577,0,0,11.76,48.84,39.4,1434,13.8,1,30,49,318,964,263,20
Snydercity,TX,12195,2.77,0,23497,28.36,14.12,12232,5306,4996,5959,18.61,36.01,7.89,8.96,3.24,59.71,331,13.9,3.43,234,0,0,2.71,83.53,8.1,1504.8,0.28,0,0,90,65,245,4,1
LincolnParkborough,NJ,10978,2.84,100,53781,18.74,12.41,21228,24617,20487,21854,1.6,17.16,3.8,9.2,3.12,59,1325,10.19,1.83,729,0,0,12.07,59.41,7,1574.9,5.33,0,0,11,24,111,13,1
Englewoodcity,OH,11432,2.54,100,37087,28.14,21.43,15854,14451,7222,11608,3.14,15.77,3.15,9.48,3.02,72.77,142,0,0.16,364,0,0,1.24,71.2,5.4,2129.8,1.83,0,3,7,55,558,36,7
Norwalkcity,CA,94279,3.58,100,38124,21.45,13.33,13343,11883,11753,8833,9.29,35.34,6.64,10.85,3.79,64.4,26635,14.8,10.84,642,88,1,28.25,49.77,10.1,9323.5,2.29,6,393,757,1079,1794,1172,21
Hamburgtownship,MI,13083,2.95,0,48481,17.82,14.23,18308,3555,16707,20874,3.23,15.53,3.55,8.24,3.18,70.67,342,8.19,0.12,467,0,0,2.61,75.83,33.6,389.8,0.23,0,2,11,55,218,21,3
ThousandOakscity,CA,104352,2.86,100,56856,17.98,13.71,24103,30154,21681,13579,4.22,10.22,3.95,10.33,3.17,65.89,14110,15.43,2.97,840,1,0,13.52,42.74,51.3,2032.4,0.31,3,65,251,649,1892,344,50
SanJosecity,CA,782248,3.13,100,46206,15.98,11.92,19496,14239,14066,10007,9.31,22.84,5.54,11.64,3.5,66.95,207041,18.12,9.11,692,917,145,26.47,46.54,177.4,4408.8,3.58,41,1186,3699,6014,21398,4014,318
Folsomcity,CA,29802,3.4,100,46726,20.65,18.57,19422,4628,16597,9009,5.17,15.77,4.16,8.28,3.04,71.03,2308,5.76,1.29,555,0,0,7.75,53.72,22.2,1342.4,1.59,0,17,55,226,765,106,0
Tredyffrintownship,PA,28028,2.45,92.67,61144,19.55,14.61,35005,15786,26899,32610,1.8,5.15,2.32,8.45,2.97,58.9,1593,23.6,0.62,661,0,0,5.67,54.45,20.6,1363.7,10.24,0,10,20,115,384,42,6
Maywoodcity,CA,27850,4.29,100,25567,11.5,9.21,8267,14038,8760,6451,21.26,72.05,12.22,7.89,4.43,52.37,16181,16.36,38.33,490,0,14,58.1,35.48,1.2,23054.6,8.67,6,80,149,147,358,220,9
Webstertown,MA,16196,2.48,94.41,30067,33.3,13.48,14847,8237,2249,6274,9.27,33.22,6.53,10.45,2.98,72.74,615,2.93,1.27,381,0,0,3.8,81.06,12.9,1251.6,0.16,0,4,46,199,379,39,1
Tiffincity,OH,18604,2.65,0,24215,34.4,20.35,11311,9778,34137,8487,10.69,23.57,6.44,9.55,3.07,76.94,298,18.46,0.29,234,0,0,1.6,84.43,6.3,2950.2,0.28,1,13,12,106,601,10,3
Hanovertownship,NJ,11538,3.04,100,60688,28.5,19.65,22835,23547,17673,17703,1.23,15.65,2.97,5,3.31,60.01,1336,5.61,1.63,829,0,0,11.58,67.47,11,1044.2,1.1,0,4,7,34,162,15,1
Hanfordcity,CA,30897,2.85,0,26629,24.05,15.18,12530,7009,10397,7288,15.65,29.01,9.04,12.99,3.25,60.13,3043,13.74,5.55,340,30,0,9.89,62.47,12,2583.4,0.25,1,38,187,327,1284,189,8
MillValleycity,CA,13038,2.19,100,55748,21.92,16.3,37086,27545,17930,26817,3.28,3.62,2.76,17.18,2.77,70.37,1439,7.78,0.48,836,0,1,11.04,47.3,4.8,2693.8,13.1,0,10,24,182,369,15,1
SugarLandcity,TX,24529,3.03,100,56571,14.3,9.86,26341,16535,16413,16948,2.5,9.32,4.08,6.83,3.31,70.73,3538,8.82,1.68,556,0,0,14.42,51.69,12.7,1929.6,1.39,0,16,52,224,789,125,5
Portlandcity,TX,12224,2.97,100,37952,14.07,12.51,14457,10796,12459,8531,7.03,12.32,5.29,8.64,3.3,64.1,193,3.63,1.41,352,0,0,1.59,66.6,6.1,2007.9,0.23,2,0,10,90,334,11,2
Fallstownship,PA,34997,2.79,100,40287,25.23,19.82,15468,15494,14830,13754,4.28,17.56,4.5,9.56,3.2,72.55,1181,10.25,0.69,572,0,0,3.38,61.73,23.1,1516.5,2.85,0,22,24,174,676,135,4
Peterstownship,PA,14467,2.93,84.41,53045,21.34,15.09,24061,15840,55392,17122,2.51,7.86,3.39,4.81,3.15,52.83,365,1.64,0.15,517,0,0,2.52,72.69,20.3,712.7,4.98,0,2,1,35,167,19,7
Ridgewoodvillage,NJ,24152,2.89,100,75221,25.51,15.89,36030,15768,25088,26998,2.1,6.57,3.11,5.56,3.26,51.41,3307,19.14,1.94,867,8,0,13.69,38.46,6,4033.9,14.09,0,9,7,62,222,19,4
Enniscity,TX,13883,3,0,25679,30.9,11.95,12678,5469,8400,6570,16.54,38.51,6.75,10.4,3.41,72.12,927,11.65,4.15,303,0,0,6.71,82.39,17.3,804.2,0,5,6,26,168,493,49,1
HarperWoodscity,MI,14903,2.27,100,33098,47.63,29.97,16872,20311,20527,7883,4.42,22.85,4.24,8.08,2.89,69.15,1244,1.69,0.98,508,0,0,8.35,77.8,2.7,5560.8,1.75,0,43,21,78,1748,240,5
MontereyParkcity,CA,60738,3.11,100,32605,24.57,12.88,15751,14779,13110,11188,16.42,30.03,6.15,8,3.49,57.29,31477,19.88,22.32,606,0,0,51.82,35.79,7.9,7676.7,4.88,6,296,209,758,933,681,2
Downeycity,CA,91444,2.77,100,36991,24.79,15.61,18362,11938,14022,12071,8.05,23.71,5.43,12.74,3.19,66.87,23712,12.45,7.97,602,0,3,25.93,47.23,12.9,7097.5,1.8,3,319,167,827,1728,1157,46
Wakefieldtown,MA,24825,2.67,100,43960,29.94,16.68,18976,14491,27053,22771,4.16,13.31,6.39,7.2,3.16,70.55,1131,0.53,0.86,607,0,0,4.56,82.44,7.7,3208.9,7.37,0,6,9,140,316,90,0
Waynecity,MI,19899,2.79,100,31250,24.32,17.82,13242,10430,5321,10767,9.58,29.61,7.4,13.93,3.19,63.39,650,7.38,0.73,358,0,0,3.27,74.23,6.2,3191,0.48,1,58,111,194,810,163,14
Weymouthtown,MA,54063,2.6,100,41586,28.21,18.88,18523,11852,11626,15465,4.13,12.45,5.56,9.07,3.17,71.45,2453,12.47,0.29,639,7,0,4.54,83.22,17.6,3067.4,7.22,1,22,217,339,837,380,11
Portagecity,MI,41042,2.65,100,39045,19.09,14.1,17638,15683,19296,10128,4.21,11.36,3.99,10.07,3.12,69.66,1307,12.93,0.6,395,0,0,3.18,69.54,33.4,1230.1,0.3,0,19,90,278,1886,64,13
Terrellcity,TX,12490,3,0,21633,31.38,15.56,12311,5910,3714,6166,23.22,36.98,10.18,14.35,3.32,73.64,594,20.88,2.17,287,0,0,4.76,78.94,18.3,683.3,0.22,3,39,58,202,571,76,2
Kerrvillecity,TX,17384,2.44,0,22186,45.91,23.95,14488,7015,5644,6219,15.11,26.53,6.59,12.32,2.85,75.88,752,8.51,1.65,298,4,0,4.33,67.02,16.1,1081.1,0.26,0,11,33,151,654,35,8
Barnegattownship,NJ,12235,2.94,0,36469,28.52,20.43,13077,11956,21503,11956,5.43,20.83,5.46,7.78,3.29,68.45,673,8.62,0.51,657,0,0,5.5,68.06,34.8,351.2,3.12,0,0,11,29,174,5,5
Cloviscity,CA,50323,2.76,100,31699,17.57,11.27,13899,9777,9758,9023,10.34,18.17,5.79,13.18,3.25,70.44,3533,19.33,2.28,405,40,0,7.02,64.52,14.8,3393.8,0.95,2,69,156,718,1844,362,29
Owossocity,MI,16322,2.52,0,23220,30.64,16.52,11506,14272,16588,9961,15.71,24.5,12.21,13.34,3.07,70.73,212,6.13,0.59,293,0,0,1.3,85.96,5,3241.1,0,0,5,77,112,431,32,7
Mundytownship,MI,11511,2.75,50.33,43937,22.19,21.45,17476,15225,6285,13822,3.77,14.9,5.94,8.96,3.11,62.6,244,0,0.89,404,0,0,2.12,80.51,37,311.3,0.16,0,6,19,75,388,18,2
Columbuscity,OH,632270,2.46,100,26630,19.09,13.56,14517,9008,10564,10623,17.26,21.31,5.91,13.93,3.05,68.48,23453,24.77,0.9,348,574,5,3.71,69.22,196.1,3224.5,4.72,105,3887,2496,13055,29051,7070,1029
Haverhillcity,MA,51418,2.63,100,36945,26.22,14.7,15708,12242,15335,7566,8.83,21.96,7.13,10.52,3.1,72.1,2950,13.05,1.47,504,44,1,5.74,76.79,34.5,1489.1,2.57,0,58,225,773,1102,491,30
Commercecity,CA,12135,3.73,100,27415,29.19,13.66,11390,6646,14600,7950,17.53,59.06,11.48,9.7,4.15,52.11,4807,13.73,22.46,494,0,0,39.59,49.93,6.8,1793,6.23,1,136,176,252,839,617,6
Alpenacity,MI,11354,2.41,0,20472,40,21.74,11522,0,4101,8412,13.45,25.5,9.29,10.56,3,68.64,147,0,0.47,246,0,0,1.29,86.81,8.8,1289.1,1.07,0,2,15,103,480,16,7
Oxnardcity,CA,142216,3.62,100,37174,19.59,17.99,14187,12582,12454,7752,12.52,38.66,6.71,10.79,3.92,68.04,44636,17.45,18.11,634,309,30,31.39,43.6,25.3,5616.7,1.07,16,464,908,1615,4425,1148,56
Bellefontainecity,OH,12142,2.55,0,25221,26.66,13.81,11712,8967,12541,16472,13.44,26.3,7.89,14.1,3.1,71.37,232,57.76,0.58,262,0,0,1.91,82.63,6.3,1918.9,0.21,0,5,20,73,296,14,0
DanaPointcity,CA,31896,2.51,100,54516,16.56,12.79,29682,11130,23219,10666,7.17,9.73,3.82,13.6,2.92,60.21,4279,29.35,4.94,872,0,47,13.42,45.06,6.9,4630.7,2.7,2,35,123,372,826,129,7
Danverstown,MA,24174,2.74,100,43759,25.65,16.79,18818,19215,19818,8525,4.59,13.21,5.29,8.33,3.12,76.1,1207,9.78,0.57,602,0,0,4.99,80.83,13.8,1756.9,1.57,0,9,60,161,810,280,0
ClevelandHeightscity,OH,54052,2.57,100,36043,23.83,13.68,21523,13369,13952,11855,8.46,11.92,4.81,11.01,3.2,74.7,3897,25.92,1.67,423,0,0,7.21,61.42,8.4,6420.1,6.98,0,28,2,131,957,234,0
Cambridgecity,MA,95802,2.43,100,33140,17.64,10.2,22936,10552,11408,10499,10.7,15.65,5.15,9.51,2.9,71.3,21350,25.41,4.21,483,252,33,22.29,39.59,6.7,14370.9,24.42,2,253,643,929,3566,968,21
NorthHuntingdontownship,PA,28158,2.76,90.4,32066,32.89,24.65,13419,16805,10655,9075,5.32,17.09,6.27,5.92,3.09,62.66,379,1.85,0.2,307,0,0,1.35,91.78,28.4,991,1.13,0,7,21,76,282,38,1
Athenscity,OH,21265,3.67,0,14350,13.46,11.39,8150,5903,6172,4217,44.66,9.9,8.54,4.1,2.85,67.79,1778,56.92,1.16,338,109,0,8.36,61.33,7,3029,0.86,1,10,31,70,512,24,0
Hilltowntownship,PA,10582,2.97,17.13,44717,21.42,13.82,17147,3320,29133,5402,3.11,16.51,1.98,6.39,3.23,65.73,320,11.88,0.49,479,0,0,3.02,81.07,27.9,379.5,0.49,0,0,4,42,171,12,0
ElCerritocity,CA,22869,2.3,100,39538,32.68,26.54,24252,15907,18364,15253,5.17,10.69,3.64,11.39,2.79,73.43,4533,15.35,4.29,645,60,12,19.82,44.4,3.8,6069.3,18.7,1,139,58,336,1067,247,9
McAllencity,TX,84021,3.37,100,22068,24.3,9.36,11513,12965,9289,6752,32.75,42.14,10.26,9.11,3.8,58.94,22212,15.51,18.51,283,48,3,26.44,55.36,33.6,2501.5,0.55,8,135,547,2083,7706,1360,20
Ringwoodborough,NJ,12623,3.19,100,60026,15.62,13.58,22577,14838,23092,18707,1.74,10.49,5.57,6.06,3.42,62.19,1074,3.82,0.51,844,0,0,8.51,57.87,25.9,487.8,3.29,0,0,1,31,101,8,1
NewBraunfelscity,TX,27334,2.73,0,26409,34.37,17.51,12647,9876,7110,6506,14.93,31.59,5.93,10.22,3.17,71.98,1362,9.62,4.75,341,16,12,4.99,75.82,26.4,1037.3,0,1,22,520,264,1302,105,9
YorbaLindacity,CA,52422,3.13,100,67892,11.63,11.87,26854,20248,18851,22024,1.9,7.07,2.72,7.98,3.37,69.94,6306,9.09,1.81,893,0,0,12.03,52.42,18.1,2889.9,0.41,0,20,64,249,888,140,23
Bloomfieldtownship,NJ,45061,2.44,100,39822,32.8,19.61,19056,13728,18295,13579,5.72,22.13,5.57,8.24,3.07,67.42,5915,14.81,2.28,541,0,1,13.13,67.79,5.5,8173.9,9.85,0,96,72,449,915,602,5
