title,award_class,award_category,name
'Round Midnight,Music,MUSIC (Original Score),Herbie Hancock
12 Years a Slave,Acting,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o
12 Years a Slave,Title,BEST PICTURE,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
12 Years a Slave,Writing,WRITING (Adapted Screenplay),Screenplay by John Ridley
1917,Production,CINEMATOGRAPHY,Roger Deakins
1917,Production,SOUND MIXING,Mark Taylor and Stuart Wilson
1917,Production,VISUAL EFFECTS,"Guillaume Rocheron, Greg Butler and Dominic Tuohy"
20 Days in Mariupol,Title,DOCUMENTARY (Feature),"Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath"
20 Feet from Stardom,Title,DOCUMENTARY (Feature),"Morgan Neville, Gil Friesen and Caitrin Rogers"
"20,000 Leagues under the Sea",Production,ART DIRECTION (Color),Art Direction: John Meehan; Set Decoration: Emile Kuri
"20,000 Leagues under the Sea",Production,VISUAL EFFECTS,Walt Disney Studios
2001: A Space Odyssey,Production,VISUAL EFFECTS,Stanley Kubrick
7 Faces of Dr. Lao.,Special,HONORARY AWARD,NA
7th Heaven,Acting,ACTRESS,Janet Gaynor
7th Heaven,Directing,DIRECTING (Dramatic Picture),Frank Borzage
7th Heaven,Writing,WRITING (Adapted Screenplay),Benjamin Glazer
8 Mile,Music,MUSIC (Original Song),"Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem"
A Beautiful Mind,Acting,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly
A Beautiful Mind,Directing,DIRECTING,Ron Howard
A Beautiful Mind,Title,BEST PICTURE,"Brian Grazer and Ron Howard, Producers"
A Beautiful Mind,Writing,WRITING (Adapted Screenplay),Written by Akiva Goldsman
A Boy and His Dog,Title,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer"
A Chance to Live,Title,DOCUMENTARY (Short Subject),"Richard de Rochemont, Producer"
A Christmas Carol,Title,SHORT FILM (Animated),"Richard Williams, Producer"
A Close Shave,Title,SHORT FILM (Animated),Nick Park
A Damsel in Distress,Music,DANCE DIRECTION,Hermes Pan
A Double Life,Acting,ACTOR,Ronald Colman
A Double Life,Music,MUSIC (Original Score),Dr. Miklos Rozsa
A Fantastic Woman,Title,INTERNATIONAL FEATURE FILM,Chile
A Farewell to Arms,Production,CINEMATOGRAPHY,"Charles Bryant Lang, Jr."
A Farewell to Arms,Production,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
A Fish Called Wanda,Acting,ACTOR IN A SUPPORTING ROLE,Kevin Kline
A Force in Readiness,Special,HONORARY AWARD,NA
A Free Soul,Acting,ACTOR,Lionel Barrymore
A Funny Thing Happened on the Way to the Forum,Music,MUSIC (Original Song Score or Adaptation Score),Ken Thorne
A Girl in the River: The Price of Forgiveness,Title,DOCUMENTARY (Short Subject),Sharmeen Obaid-Chinoy
A Greek Tragedy,Title,SHORT FILM (Animated),"Linda Van Tulden and Willem Thijssen, Producers"
A Hole in the Head,Music,MUSIC (Original Song),Music by James Van Heusen; Lyrics by Sammy Cahn
A Letter to Three Wives,Directing,DIRECTING,Joseph L. Mankiewicz
A Letter to Three Wives,Writing,WRITING (Screenplay),Joseph L. Mankiewicz
A Little Night Music,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Jonathan Tunick
A Little Romance,Music,MUSIC (Original Score),Georges Delerue
A Man and a Woman,Title,INTERNATIONAL FEATURE FILM,France
A Man and a Woman,Writing,WRITING (Original Screenplay),"Story by Claude Lelouch; Screenplay by Claude Lelouch, Pierre Uytterhoeven"
A Man for All Seasons,Acting,ACTOR,Paul Scofield
A Man for All Seasons,Production,CINEMATOGRAPHY (Color),Ted Moore
A Man for All Seasons,Production,COSTUME DESIGN (Color),"Elizabeth Haffenden, Joan Bridge"
A Man for All Seasons,Directing,DIRECTING,Fred Zinnemann
A Man for All Seasons,Title,BEST PICTURE,"Fred Zinnemann, Producer"
A Man for All Seasons,Writing,WRITING (Adapted Screenplay),Robert Bolt
A Midsummer Night's Dream,Production,CINEMATOGRAPHY,Hal Mohr
A Midsummer Night's Dream,Production,FILM EDITING,Ralph Dawson
A Note of Triumph: The Golden Age of Norman Corwin,Title,DOCUMENTARY (Short Subject),Corinne Marrinan and Eric Simonson
A Passage to India,Acting,ACTRESS IN A SUPPORTING ROLE,Peggy Ashcroft
A Passage to India,Music,MUSIC (Original Score),Maurice Jarre
A Patch of Blue,Acting,ACTRESS IN A SUPPORTING ROLE,Shelley Winters
A Place in the Sun,Production,CINEMATOGRAPHY (Black-and-White),William C. Mellor
A Place in the Sun,Production,COSTUME DESIGN (Black-and-White),Edith Head
A Place in the Sun,Directing,DIRECTING,George Stevens
A Place in the Sun,Production,FILM EDITING,William Hornbeck
A Place in the Sun,Music,MUSIC (Original Score),Franz Waxman
A Place in the Sun,Writing,WRITING (Screenplay),"Michael Wilson, Harry Brown"
A Place to Stand,Title,SHORT FILM (Live Action),"Christopher Chapman, Producer"
A River Runs through It,Production,CINEMATOGRAPHY,Philippe Rousselot
A Room with a View,Production,ART DIRECTION,"Art Direction: Gianni Quaranta, Brian Ackland-Snow; Set Decoration: Brian Savegar, Elio Altamura"
A Room with a View,Production,COSTUME DESIGN,"Jenny Beavan, John Bright"
A Room with a View,Writing,WRITING (Adapted Screenplay),Ruth Prawer Jhabvala
A Separation,Title,INTERNATIONAL FEATURE FILM,Iran
A Shocking Accident,Title,SHORT FILM (Live Action),"Christine Oestreicher, Producer"
A Star Is Born,Writing,WRITING (Original Story),"William A. Wellman, Robert Carson"
A Star Is Born,Music,MUSIC (Original Song),Music by Barbra Streisand; Lyrics by Paul Williams
A Star Is Born,Music,MUSIC (Original Song),"Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt"
A Story of Healing,Title,DOCUMENTARY (Short Subject),"Donna Dewey, Carol Pasternak"
A Streetcar Named Desire,Acting,ACTOR IN A SUPPORTING ROLE,Karl Malden
A Streetcar Named Desire,Acting,ACTRESS,Vivien Leigh
A Streetcar Named Desire,Acting,ACTRESS IN A SUPPORTING ROLE,Kim Hunter
A Streetcar Named Desire,Production,ART DIRECTION (Black-and-White),Art Direction: Richard Day; Set Decoration: George James Hopkins
A Thousand Clowns,Acting,ACTOR IN A SUPPORTING ROLE,Martin Balsam
A Time Out of War,Title,SHORT SUBJECT (Two-reel),"Denis Sanders and Terry Sanders, Producers"
A Time for Justice,Title,DOCUMENTARY (Short Subject),Charles Guggenheim
A Touch of Class,Acting,ACTRESS,Glenda Jackson
A Tree Grows in Brooklyn,Acting,ACTOR IN A SUPPORTING ROLE,James Dunn
A Year toward Tomorrow,Title,DOCUMENTARY (Short Subject),"Edmond A. Levy, Producer"
Adaptation,Acting,ACTOR IN A SUPPORTING ROLE,Chris Cooper
Affliction,Acting,ACTOR IN A SUPPORTING ROLE,James Coburn
Air Force,Production,FILM EDITING,George Amy
Airport,Acting,ACTRESS IN A SUPPORTING ROLE,Helen Hayes
Aladdin,Music,MUSIC (Original Score),Alan Menken
Aladdin,Music,MUSIC (Original Song),Music by Alan Menken; Lyric by Tim Rice
Albert Schweitzer,Title,DOCUMENTARY (Feature),"Jerome Hill, Producer"
Alexander's Ragtime Band,Music,MUSIC (Scoring),Alfred Newman
Alice Doesn't Live Here Anymore,Acting,ACTRESS,Ellen Burstyn
Alice in Wonderland,Production,ART DIRECTION,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara
Alice in Wonderland,Production,COSTUME DESIGN,Colleen Atwood
Alien,Production,VISUAL EFFECTS,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling"
Aliens,Production,SOUND EDITING,Don Sharpe
Aliens,Production,VISUAL EFFECTS,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson"
All Quiet on the Western Front,Directing,DIRECTING,Lewis Milestone
All Quiet on the Western Front,Title,BEST PICTURE,Universal
All Quiet on the Western Front,Production,CINEMATOGRAPHY,James Friend
All Quiet on the Western Front,Title,INTERNATIONAL FEATURE FILM,Germany
All Quiet on the Western Front,Music,MUSIC (Original Score),Volker Bertelmann
All Quiet on the Western Front,Production,PRODUCTION DESIGN,Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper
All That Jazz,Production,ART DIRECTION,"Art Direction: Philip Rosenberg, Tony Walton; Set Decoration: Edward Stewart, Gary Brink"
All That Jazz,Production,COSTUME DESIGN,Albert Wolsky
All That Jazz,Production,FILM EDITING,Alan Heim
All That Jazz,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Ralph Burns
All That Money Can Buy,Music,MUSIC (Original Score),Bernard Herrmann
All about Eve,Acting,ACTOR IN A SUPPORTING ROLE,George Sanders
All about Eve,Production,COSTUME DESIGN (Black-and-White),"Edith Head, Charles LeMaire"
All about Eve,Directing,DIRECTING,Joseph L. Mankiewicz
All about Eve,Title,BEST PICTURE,20th Century-Fox
All about Eve,Production,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
All about Eve,Writing,WRITING (Screenplay),Joseph L. Mankiewicz
All about My Mother,Title,INTERNATIONAL FEATURE FILM,Spain
All the King's Men,Acting,ACTOR,Broderick Crawford
All the King's Men,Acting,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge
All the King's Men,Title,BEST PICTURE,Robert Rossen Productions
All the President's Men,Acting,ACTOR IN A SUPPORTING ROLE,Jason Robards
All the President's Men,Production,ART DIRECTION,Art Direction: George Jenkins; Set Decoration: George Gaines
All the President's Men,Production,SOUND,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb"
All the President's Men,Writing,WRITING (Adapted Screenplay),William Goldman
Almost Famous,Writing,WRITING (Original Screenplay),Written by Cameron Crowe
Ama Girls,Title,DOCUMENTARY (Short Subject),"Ben Sharpsteen, Producer"
Amadeus,Acting,ACTOR IN A LEADING ROLE,F. Murray Abraham
Amadeus,Production,ART DIRECTION,Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny
Amadeus,Production,COSTUME DESIGN,Theodor Pistek
Amadeus,Directing,DIRECTING,Milos Forman
Amadeus,Production,MAKEUP AND HAIRSTYLING,"Paul LeBlanc, Dick Smith"
Amadeus,Title,BEST PICTURE,"Saul Zaentz, Producer"
Amadeus,Production,SOUND,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman"
Amadeus,Writing,WRITING (Adapted Screenplay),Peter Shaffer
Amarcord,Title,INTERNATIONAL FEATURE FILM,Italy
America America,Production,ART DIRECTION (Black-and-White),Gene Callahan
American Beauty,Acting,ACTOR IN A LEADING ROLE,Kevin Spacey
American Beauty,Production,CINEMATOGRAPHY,Conrad L. Hall
American Beauty,Directing,DIRECTING,Sam Mendes
American Beauty,Title,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers"
American Beauty,Writing,WRITING (Original Screenplay),Alan Ball
American Dream,Title,DOCUMENTARY (Feature),"Barbara Kopple and Arthur Cohn, Producers"
American Factory,Title,DOCUMENTARY (Feature),"Steven Bognar, Julia Reichert and Jeff Reichert"
American Fiction,Writing,WRITING (Adapted Screenplay),Written for the screen by Cord Jefferson
American Sniper,Production,SOUND EDITING,Alan Robert Murray and Bub Asman
Amour,Title,INTERNATIONAL FEATURE FILM,Austria
Amphibious Fighters,Title,SHORT SUBJECT (One-reel),"Grantland Rice, Producer"
Amy,Title,DOCUMENTARY (Feature),Asif Kapadia and James Gay-Rees
An American Werewolf in London,Production,MAKEUP AND HAIRSTYLING,Rick Baker
An American in Paris,Production,ART DIRECTION (Color),"Art Direction: Cedric Gibbons, Preston Ames; Set Decoration: Edwin B. Willis, Keogh Gleason"
An American in Paris,Production,CINEMATOGRAPHY (Color),Alfred Gilks; Ballet Photography by John Alton
An American in Paris,Production,COSTUME DESIGN (Color),"Orry-Kelly, Walter Plunkett, Irene Sharaff"
An American in Paris,Music,MUSIC (Original Song Score or Adaptation Score),"Johnny Green, Saul Chaplin"
An American in Paris,Title,BEST PICTURE,"Arthur Freed, Producer"
An American in Paris,Writing,WRITING (Original Screenplay),Alan Jay Lerner
An Inconvenient Truth,Title,DOCUMENTARY (Feature),Davis Guggenheim
An Inconvenient Truth,Music,MUSIC (Original Song),Music and Lyric by Melissa Etheridge
An Irish Goodbye,Title,SHORT FILM (Live Action),Tom Berkeley and Ross White
An Occurrence at Owl Creek Bridge,Title,SHORT FILM (Live Action),"Paul de Roubaix and Marcel Ichac, Producers"
An Officer and a Gentleman,Acting,ACTOR IN A SUPPORTING ROLE,"Louis Gossett, Jr."
An Officer and a Gentleman,Music,MUSIC (Original Song),Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings
Anastasia,Acting,ACTRESS,Ingrid Bergman
Anatomy of a Fall,Writing,WRITING (Original Screenplay),Screenplay - Justine Triet and Arthur Harari
Anchors Aweigh,Music,MUSIC (Original Song Score or Adaptation Score),Georgie Stoll
Angel and Big Joe,Title,SHORT FILM (Live Action),"Bert Salzman, Producer"
Anna & Bella,Title,SHORT FILM (Animated),"Cilia Van Dijk, Producer"
Anna Karenina,Production,COSTUME DESIGN,Jacqueline Durran
Anna and the King of Siam,Production,ART DIRECTION (Black-and-White),"Art Direction: Lyle Wheeler, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes"
Anna and the King of Siam,Production,CINEMATOGRAPHY (Black-and-White),Arthur Miller
Anne Frank Remembered,Title,DOCUMENTARY (Feature),Jon Blair
Anne of the Thousand Days,Production,COSTUME DESIGN,Margaret Furse
Annie Get Your Gun,Music,MUSIC (Original Song Score or Adaptation Score),"Adolph Deutsch, Roger Edens"
Annie Hall,Acting,ACTRESS IN A LEADING ROLE,Diane Keaton
Annie Hall,Directing,DIRECTING,Woody Allen
Annie Hall,Title,BEST PICTURE,"Charles H. Joffe, Producer"
Annie Hall,Writing,WRITING (Original Screenplay),"Woody Allen, Marshall Brickman"
Another Round,Title,INTERNATIONAL FEATURE FILM,Denmark
Anthony Adverse,Acting,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard
Anthony Adverse,Production,CINEMATOGRAPHY,Gaetano Gaudio
Anthony Adverse,Production,FILM EDITING,Ralph Dawson
Anthony Adverse,Music,MUSIC (Scoring),"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Erich Wolfgang Korngold)"
Antonia's Line,Title,INTERNATIONAL FEATURE FILM,The Netherlands
Apocalypse Now,Production,CINEMATOGRAPHY,Vittorio Storaro
Apocalypse Now,Production,SOUND,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer"
Apollo 13,Production,FILM EDITING,"Mike Hill, Dan Hanley"
Apollo 13,Production,SOUND,"Rick Dior, Steve Pederson, Scott Millan, David MacMillan"
Aquatic House-Party,Title,SHORT SUBJECT (One-reel),"Jack Eaton, Producer"
Argo,Production,FILM EDITING,William Goldenberg
Argo,Title,BEST PICTURE,"Grant Heslov, Ben Affleck and George Clooney, Producers"
Argo,Writing,WRITING (Adapted Screenplay),Screenplay by Chris Terrio
"Arise, My Love",Writing,WRITING (Original Story),"Benjamin Glazer, John S. Toldy"
Around the World in 80 Days,Production,CINEMATOGRAPHY (Color),Lionel Lindon
Around the World in 80 Days,Production,FILM EDITING,"Gene Ruggiero, Paul Weatherwax"
Around the World in 80 Days,Music,MUSIC (Original Score),Victor Young
Around the World in 80 Days,Title,BEST PICTURE,"Michael Todd, Producer"
Around the World in 80 Days,Writing,WRITING (Adapted Screenplay),"James Poe, John Farrow, S.J. Perelman"
Arrival,Production,SOUND EDITING,Sylvain Bellemare
Arthur,Acting,ACTOR IN A SUPPORTING ROLE,John Gielgud
Arthur,Music,MUSIC (Original Song),"Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen"
Arthur Rubinstein - The Love of Life,Title,DOCUMENTARY (Feature),"Bernard Chevry, Producer"
Artie Shaw: Time Is All You've Got,Title,DOCUMENTARY (Feature),"Brigitte Berman, Producer"
As Good as It Gets,Acting,ACTOR IN A LEADING ROLE,Jack Nicholson
As Good as It Gets,Acting,ACTRESS IN A LEADING ROLE,Helen Hunt
Atonement,Music,MUSIC (Original Score),Dario Marianelli
Avatar,Production,ART DIRECTION,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair
Avatar,Production,CINEMATOGRAPHY,Mauro Fiore
Avatar,Production,VISUAL EFFECTS,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones"
Avatar: The Way of Water,Production,VISUAL EFFECTS,"Joe Letteri, Richard Baneham, Eric Saindon and Daniel Barrett"
Babe,Production,VISUAL EFFECTS,"Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox"
Babel,Music,MUSIC (Original Score),Gustavo Santaolalla
Babette's Feast,Title,INTERNATIONAL FEATURE FILM,Denmark
Back to the Future,Production,SOUND EDITING,"Charles L. Campbell, Robert Rutledge"
Bad Girl,Directing,DIRECTING,Frank Borzage
Bad Girl,Writing,WRITING (Adapted Screenplay),Edwin Burke
Balance,Title,SHORT FILM (Animated),"Christoph Lauenstein, Wolfgang Lauenstein"
Bao,Title,SHORT FILM (Animated),Domee Shi and Becky Neiman-Cobb
Barbie,Music,MUSIC (Original Song),Music and Lyric by Billie Eilish and Finneas O'Connell
Barry Lyndon,Production,ART DIRECTION,"Art Direction: Ken Adam, Roy Walker; Set Decoration: Vernon Dixon"
Barry Lyndon,Production,CINEMATOGRAPHY,John Alcott
Barry Lyndon,Production,COSTUME DESIGN,"Ulla-Britt Soderlund, Milena Canonero"
Barry Lyndon,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Leonard Rosenman
Batman,Production,ART DIRECTION,Art Direction: Anton Furst; Set Decoration: Peter Young
Battleground,Production,CINEMATOGRAPHY (Black-and-White),Paul C. Vogel
Battleground,Writing,WRITING (Original Screenplay),Robert Pirosh
Bear Country,Title,SHORT SUBJECT (Two-reel),"Walt Disney, Producer"
Bear Story,Title,SHORT FILM (Animated),Gabriel Osorio and Pato Escala
Beauty and the Beast,Music,MUSIC (Original Score),Alan Menken
Beauty and the Beast,Music,MUSIC (Original Song),Music by Alan Menken; Lyric by Howard Ashman
Becket,Writing,WRITING (Adapted Screenplay),Edward Anhalt
Bedknobs and Broomsticks,Production,VISUAL EFFECTS,"Alan Maley, Eustace Lycett, Danny Lee"
Beetlejuice,Production,MAKEUP AND HAIRSTYLING,"Ve Neill, Steve La Porte, Robert Short"
Beginners,Acting,ACTOR IN A SUPPORTING ROLE,Christopher Plummer
Being There,Acting,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas
Belfast,Writing,WRITING (Original Screenplay),Written by Kenneth Branagh
Belle Epoque,Title,INTERNATIONAL FEATURE FILM,Spain
Ben-Hur,Acting,ACTOR,Charlton Heston
Ben-Hur,Acting,ACTOR IN A SUPPORTING ROLE,Hugh Griffith
Ben-Hur,Production,ART DIRECTION (Color),"Art Direction: William A. Horning, Edward Carfagno; Set Decoration: Hugh Hunt"
Ben-Hur,Production,CINEMATOGRAPHY (Color),Robert L. Surtees
Ben-Hur,Production,COSTUME DESIGN (Color),Elizabeth Haffenden
Ben-Hur,Directing,DIRECTING,William Wyler
Ben-Hur,Production,FILM EDITING,"Ralph E. Winters, John D. Dunning"
Ben-Hur,Music,MUSIC (Original Score),Miklos Rozsa
Ben-Hur,Title,BEST PICTURE,"Sam Zimbalist, Producer"
Ben-Hur,Production,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
Ben-Hur,Production,VISUAL EFFECTS,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory"
Benjy,Title,DOCUMENTARY (Short Subject),'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital'
Best Boy,Title,DOCUMENTARY (Feature),"Ira Wohl, Producer"
Beyond the Line of Duty,Title,SHORT SUBJECT (Two-reel),Warner Bros.
Big Hero 6,Title,ANIMATED FEATURE FILM,"Don Hall, Chris Williams and Roy Conli"
Big Mama,Title,DOCUMENTARY (Short Subject),Tracy Seretean
Bird,Production,SOUND,"Les Fresholtz, Dick Alexander, Vern Poore, Willie D. Burton"
Birdman or (The Unexpected Virtue of Ignorance),Production,CINEMATOGRAPHY,Emmanuel Lubezki
Birdman or (The Unexpected Virtue of Ignorance),Directing,DIRECTING,Alejandro G. Iñárritu
Birdman or (The Unexpected Virtue of Ignorance),Title,BEST PICTURE,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers"
Birdman or (The Unexpected Virtue of Ignorance),Writing,WRITING (Original Screenplay),"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo"
Birds Anonymous,Title,SHORT FILM (Animated),"Edward Selzer, Producer"
BlacKkKlansman,Writing,WRITING (Adapted Screenplay),Written by Charlie Wachtel & David Rabinowitz and Kevin Willmott & Spike Lee
Black Fox,Title,DOCUMENTARY (Feature),"Louis Clyde Stoumen, Producer"
Black Hawk Down,Production,FILM EDITING,Pietro Scalia
Black Hawk Down,Production,SOUND,"Michael Minkler, Myron Nettinga, Chris Munro"
Black Narcissus,Production,ART DIRECTION (Color),Art Direction: Alfred Junge; Set Decoration: Alfred Junge
Black Narcissus,Production,CINEMATOGRAPHY (Color),Jack Cardiff
Black Orpheus,Title,INTERNATIONAL FEATURE FILM,France
Black Panther,Production,COSTUME DESIGN,Ruth Carter
Black Panther,Music,MUSIC (Original Score),Ludwig Goransson
Black Panther,Production,PRODUCTION DESIGN,Production Design: Hannah Beachler; Set Decoration: Jay Hart
Black Panther: Wakanda Forever,Production,COSTUME DESIGN,Ruth Carter
Black Rider (Schwarzfahrer),Title,SHORT FILM (Live Action),Pepe Danquart
Black Swan,Acting,ACTRESS IN A LEADING ROLE,Natalie Portman
Black and White in Color,Title,INTERNATIONAL FEATURE FILM,Ivory Coast
Blade Runner 2049,Production,CINEMATOGRAPHY,Roger A. Deakins
Blade Runner 2049,Production,VISUAL EFFECTS,"John Nelson, Gerd Nefzer, Paul Lambert and Richard R. Hoover"
Blithe Spirit,Production,VISUAL EFFECTS,Special Visual Effects by Thomas Howard
Blood and Sand,Production,CINEMATOGRAPHY (Color),"Ernest Palmer, Ray Rennahan"
Blood on the Sun,Production,ART DIRECTION (Black-and-White),Art Direction: Wiard Ihnen; Interior Decoration: A. Roland Fields
Blossoms in the Dust,Production,ART DIRECTION (Color),"Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis"
Blue Jasmine,Acting,ACTRESS IN A LEADING ROLE,Cate Blanchett
Blue Sky,Acting,ACTRESS IN A LEADING ROLE,Jessica Lange
Board and Care,Title,SHORT FILM (Live Action),"Sarah Pillsbury and Ron Ellis, Producers"
Bob's Birthday,Title,SHORT FILM (Animated),"Alison Snowden, David Fine"
Body and Soul,Production,FILM EDITING,"Francis Lyon, Robert Parrish"
Bohemian Rhapsody,Acting,ACTOR IN A LEADING ROLE,Rami Malek
Bohemian Rhapsody,Production,FILM EDITING,John Ottman
Bohemian Rhapsody,Production,SOUND EDITING,John Warhurst and Nina Hartstone
Bohemian Rhapsody,Production,SOUND MIXING,"Paul Massey, Tim Cavagin and John Casali"
Bombshell,Production,MAKEUP AND HAIRSTYLING,"Kazu Hiro, Anne Morgan and Vivian Baker"
Bonnie and Clyde,Acting,ACTRESS IN A SUPPORTING ROLE,Estelle Parsons
Bonnie and Clyde,Production,CINEMATOGRAPHY,Burnett Guffey
Bored of Education,Title,SHORT SUBJECT (One-reel),"Hal Roach, Producer"
Born Free,Music,MUSIC (Original Score),John Barry
Born Free,Music,MUSIC (Original Song),Music by John Barry; Lyrics by Don Black
Born Yesterday,Acting,ACTRESS,Judy Holliday
Born into Brothels,Title,DOCUMENTARY (Feature),Ross Kauffman and Zana Briski
Born on the Fourth of July,Directing,DIRECTING,Oliver Stone
Born on the Fourth of July,Production,FILM EDITING,"David Brenner, Joe Hutshing"
Bound for Glory,Production,CINEMATOGRAPHY,Haskell Wexler
Bound for Glory,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Leonard Rosenman
Bowling for Columbine,Title,DOCUMENTARY (Feature),"Michael Moore, Michael Donovan"
Boyhood,Acting,ACTRESS IN A SUPPORTING ROLE,Patricia Arquette
Boys Don't Cry,Acting,ACTRESS IN A LEADING ROLE,Hilary Swank
Boys Town,Acting,ACTOR,Spencer Tracy
Boys Town,Writing,WRITING (Original Story),"Dore Schary, Eleanore Griffin"
Boys and Girls,Title,SHORT FILM (Live Action),"Janice L. Platt, Producer"
Bram Stoker's Dracula,Production,COSTUME DESIGN,Eiko Ishioka
Bram Stoker's Dracula,Production,MAKEUP AND HAIRSTYLING,"Greg Cannom, Michèle Burke, Matthew W. Mungle"
Bram Stoker's Dracula,Production,SOUND EDITING,"Tom C. McCarthy, David E. Stone"
Brave,Title,ANIMATED FEATURE FILM,Mark Andrews and Brenda Chapman
Braveheart,Production,CINEMATOGRAPHY,John Toll
Braveheart,Directing,DIRECTING,Mel Gibson
Braveheart,Production,MAKEUP AND HAIRSTYLING,"Peter Frampton, Paul Pattison, Lois Burwell"
Braveheart,Title,BEST PICTURE,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers"
Braveheart,Production,SOUND EDITING,"Lon Bender, Per Hallberg"
Breakfast at Tiffany's,Music,MUSIC (Original Score),Henry Mancini
Breakfast at Tiffany's,Music,MUSIC (Original Song),Music by Henry Mancini; Lyrics by Johnny Mercer
Breaking Away,Writing,WRITING (Original Screenplay),Steve Tesich
Breaking the Sound Barrier,Production,SOUND RECORDING,London Film Sound Department
Breathing Lessons: The Life and Work of Mark O'Brien,Title,DOCUMENTARY (Short Subject),Jessica Yu
Bridge of Spies,Acting,ACTOR IN A SUPPORTING ROLE,Mark Rylance
Broadway Melody of 1936,Music,DANCE DIRECTION,Dave Gould
Brokeback Mountain,Directing,DIRECTING,Ang Lee
Brokeback Mountain,Music,MUSIC (Original Score),Gustavo Santaolalla
Brokeback Mountain,Writing,WRITING (Adapted Screenplay),Screenplay by Larry McMurtry & Diana Ossana
Broken Lance,Writing,WRITING (Original Story),Philip Yordan
Broken Rainbow,Title,DOCUMENTARY (Feature),"Maria Florio and Victoria Mudd, Producers"
Bugsy,Production,ART DIRECTION,Art Direction: Dennis Gassner; Set Decoration: Nancy Haigh
Bugsy,Production,COSTUME DESIGN,Albert Wolsky
Bullets over Broadway,Acting,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest
Bullitt,Production,FILM EDITING,Frank P. Keller
Bunny,Title,SHORT FILM (Animated),Chris Wedge
Burnt by the Sun,Title,INTERNATIONAL FEATURE FILM,Russia
Busy Little Bears,Title,SHORT SUBJECT (One-reel),Paramount
Butch Cassidy and the Sundance Kid,Production,CINEMATOGRAPHY,Conrad Hall
Butch Cassidy and the Sundance Kid,Music,MUSIC (Original Score),Burt Bacharach
Butch Cassidy and the Sundance Kid,Music,MUSIC (Original Song),Music by Burt Bacharach; Lyrics by Hal David
Butch Cassidy and the Sundance Kid,Writing,WRITING (Original Screenplay),William Goldman
Butterfield 8,Acting,ACTRESS,Elizabeth Taylor
Butterflies Are Free,Acting,ACTRESS IN A SUPPORTING ROLE,Eileen Heckart
CARNE y ARENA,Special,SPECIAL AWARD,NA
CODA,Acting,ACTOR IN A SUPPORTING ROLE,Troy Kotsur
CODA,Title,BEST PICTURE,"Philippe Rousselet, Fabrice Gianfermi and Patrick Wachsberger, Producers"
CODA,Writing,WRITING (Adapted Screenplay),Screenplay by Siân Heder
Cabaret,Acting,ACTOR IN A SUPPORTING ROLE,Joel Grey
Cabaret,Acting,ACTRESS,Liza Minnelli
