gemeinde,staat,bevoelkerung,bevoelkerung_dichte,haushalt_groesse,median_einkommen,prozent_pension,prozent_armut,prozent_arbeitslos,prozent_metro,verbrechen,haeufigkeit
Mansfieldcity,OH,50627,1749.7,2.51,22591,18.4,17.83,8.76,1.27,murders,3
Hurontownship,MI,10447,283.4,2.97,41806,16.53,4.48,6.95,0,murders,0
WestNewYorktown,NJ,38125,36199.2,2.64,26361,10.45,16.4,8.59,25.05,murders,1
ElmwoodParkborough,NJ,17623,6408.4,2.61,38248,18.58,3.11,5.05,4.69,murders,0
Stroudtownship,PA,10600,327.8,2.66,39690,16.76,3.86,4.77,2.26,murders,0
SevenHillscity,OH,12339,2394.1,2.72,42240,31.21,1.93,4.43,2.54,murders,0
Westontown,MA,10200,578.6,3.04,95134,11.96,3.6,3.62,7.26,murders,0
Nilestownship,MI,12828,328.5,2.7,28745,17.27,7.62,7.56,0.24,murders,0
Delawarecity,OH,20030,1852,2.81,28975,14.83,9.8,4.32,0.35,murders,1
Staffordtownship,NJ,13325,270.3,2.61,31689,25.7,7.72,6.23,0.92,murders,1
NorthReadingtown,MA,12002,873.9,2.95,52707,14.91,2.09,5.44,2.55,murders,0
Westminstercity,CA,78118,7508.5,3.12,41364,16.01,11.44,5.72,2.04,murders,10
Vernoncity,TX,12001,1436.2,2.62,20396,13.36,19.59,5.61,0.29,murders,2
Chinocity,CA,59682,3379.5,3.82,41958,10.64,7.36,5.53,0.53,murders,8
Ludlowtown,MA,18820,669.1,2.71,36247,19.59,4,4.75,0.2,murders,0
Randolphtownship,NJ,19974,919.5,2.88,64403,11.69,2.64,3.32,1.93,murders,0
LaMesacity,CA,52931,5541.4,2.28,31171,20.2,9.24,4.93,2.79,murders,1
Montebellocity,CA,59564,6964.9,3.2,31441,12.72,14,6.73,5.98,murders,4
Shrewsburytown,MA,24146,1124.1,2.6,44248,16.61,3.76,4.95,0.54,murders,0
Dartmouthtown,MA,27244,427.4,2.96,35138,18.34,5.74,7.85,0.78,murders,0
Carpinteriacity,CA,13747,4902.6,2.78,34827,12.95,5.92,3.75,2.94,murders,0
Salinascity,CA,108777,5637.3,3.26,31271,15.22,15.58,10.81,2.28,murders,15
PalisadesParkborough,NJ,14536,11613.9,2.52,36019,12.49,7.7,5.45,16.57,murders,0
Plainsborotownship,NJ,14213,1141.9,2.08,46915,3.46,1.54,3.39,9.49,murders,1
Saginawcity,MI,69512,3846.4,2.66,17736,18.68,31.72,17.82,1.63,murders,22
Vallejocity,CA,109199,3488.3,2.92,36605,22.12,8.48,6.55,3.7,murders,10
ElCampocity,TX,10511,1777.9,2.76,21049,10.22,22.09,8.12,0,murders,1
Lancastercity,CA,97291,1057.6,2.96,38388,16.21,9.9,6.94,1.04,murders,7
SanBenitocity,TX,20125,2144.6,3.49,16553,12.15,36.8,13.89,0.32,murders,1
Cantontown,MA,18530,944.5,2.81,53492,18.57,2.39,5,9.12,murders,0
Polandtownship,OH,13993,639.9,2.81,36132,24.45,4.05,4.29,0,murders,0
Tylercity,TX,75450,1836.7,2.57,23661,13.93,19.53,8.08,0.33,murders,9
Burbankcity,CA,93643,5210.5,2.38,35959,13.88,8.32,5.12,3.23,murders,5
Uplandcity,CA,63374,4053.1,2.75,41965,13.16,7.77,5.19,0.96,murders,3
Girardcity,OH,11304,2265.9,2.43,23999,25.16,12.06,7.86,0.37,murders,1
Brownstowntownship,MI,18811,808.6,2.93,38186,9.81,10.85,7.37,0.21,murders,0
Weehawkentownship,NJ,12385,14029.2,2.45,34716,10.77,9.56,8.2,37.01,murders,2
Berwickborough,PA,10976,3421.4,2.38,20423,22.63,10.64,9.13,0.24,murders,0
ChulaVistacity,CA,135163,4500.6,2.83,32012,21.27,9.8,6.08,4.49,murders,14
Victorvillecity,CA,40674,938.5,2.86,28698,20.34,14.82,9.95,0.18,murders,3
AsburyParkcity,NJ,16799,11323.1,2.44,20754,13.68,23.33,11.82,8.57,murders,2
Bournetown,MA,16064,379.1,2.72,34159,20.07,6.7,6.19,1.49,murders,0
Naticktown,MA,30510,1952,2.54,49229,15.38,3.15,4.73,7.12,murders,0
Levellandcity,TX,13986,1368.5,3.01,23497,7.07,19.4,6.83,0.33,murders,2
Clevelandcity,OH,505616,6336.3,2.53,17822,16.83,28.67,14,14.25,murders,167
SantaClaracity,CA,93613,4937.4,2.56,44707,13.36,6.23,4.43,2.44,murders,3
SantaAnacity,CA,293742,10468.4,4.1,35162,10.53,18.15,8.52,8.61,murders,78
Sharontown,MA,15517,642.6,2.96,61692,12.44,3.91,4.59,10.34,murders,1
Temeculacity,CA,27099,990,2.97,44270,14.19,4.91,4.34,0,murders,3
Barstowcity,CA,21472,904.6,2.81,28289,18.49,14.36,9.13,1.25,murders,3
HuberHeightscity,OH,38686,1809.9,2.86,37900,19.85,4.33,4.59,1.67,murders,1
Carrolltoncity,TX,82169,2281.5,2.7,45787,5.86,4.52,3.85,1.44,murders,4
Tularecity,CA,33249,2253.3,3.06,24686,12.26,21.36,9.11,0.21,murders,3
Readingtontownship,NJ,13400,271.6,2.91,62548,11.22,1.49,2.68,1.13,murders,0
BedfordHeightscity,OH,12131,2580.4,2.27,28873,16.87,6.78,5.8,4.64,murders,2
Hillsboroughtown,CA,10667,1655.3,2.94,123625,16.29,4.22,2.52,3.89,murders,0
HuntingtonParkcity,CA,56065,17742.1,4.03,23595,8.75,24.28,12.78,14.25,murders,9
NewMilfordborough,NJ,15990,6673.6,2.59,44600,16.49,2.2,5.73,8.8,murders,0
Middletowncity,OH,45991,2201.1,2.51,25735,20.94,15.44,7.84,0.82,murders,2
Springfieldtownship,NJ,13420,2514.4,2.32,48647,17.03,2.58,3.55,6.08,murders,0
CherryHilltownship,NJ,69348,2760,2.83,54432,16.77,2.52,3.16,6.99,murders,0
Tauntoncity,MA,49832,1031.9,2.64,32315,16.81,8.33,8.8,1.92,murders,0
UniversityParkcity,TX,22259,5766.6,2.63,53614,10.67,6.78,2.81,1.44,murders,1
LaQuintacity,CA,11215,444.3,2.85,39572,13.2,6.46,6.12,0.86,murders,0
Walpoletown,MA,20212,950.2,2.98,51242,17.33,2.54,4.78,6.92,murders,1
Thomastownship,MI,10971,336,2.9,40330,16.35,4.86,5.07,0.1,murders,0
Holbrooktown,MA,11041,1449.3,2.8,37775,16.8,6.1,7.67,7.44,murders,0
Whitehalltownship,PA,22779,1754,2.44,33214,21.54,5.2,4.19,0.94,murders,0
Marbleheadtown,MA,19971,4254.9,2.43,53333,15.51,3.34,3.37,6.87,murders,0
SantaClaritacity,CA,110642,2638.4,2.88,52970,10.68,3.71,3.51,0.69,murders,4
EastNorritontownship,PA,13324,2118.1,2.68,47026,18.93,1.79,2.03,1.42,murders,0
Yorktownship,PA,19231,729,2.48,37058,17.08,3.3,2.43,0.24,murders,1
Neptunetownship,NJ,28148,3312.8,2.71,37911,21.81,7.79,5.76,2.51,murders,0
VanBurentownship,MI,21010,598.1,2.66,37987,12.21,7.15,6.34,0.09,murders,0
NetherProvidencetownship,PA,13229,2708.6,2.75,52780,19.02,2.96,2,7.29,murders,0
Richardsoncity,TX,74840,2556.7,2.75,50240,11.36,4.42,3.88,1.95,murders,4
Ukiahcity,CA,14599,2977,2.58,24402,17.08,13.3,7.2,0.31,murders,0
ShakerHeightscity,OH,30831,4741.8,2.44,51128,15.54,3.45,3.94,9.36,murders,2
Rosevillecity,MI,51412,5054.3,2.63,32337,21.17,6.19,7.54,0.94,murders,1
Dedhamtown,MA,23782,2196.4,2.8,45687,18.55,4.69,5.41,7.64,murders,2
EastBridgewatertown,MA,11104,621.6,3.09,42614,13.36,3.89,7.25,1.4,murders,0
Pasadenacity,TX,119363,2632.4,2.84,28729,12.42,14.15,7.38,0.38,murders,10
EastLansingcity,MI,50677,5152.2,3.75,24716,9.02,33.77,7.57,3.2,murders,2
Hopatcongborough,NJ,15586,1377.3,2.92,48203,12.11,3.24,4.55,1.85,murders,0
FlowerMoundtown,TX,15527,467.9,3.09,53693,5.67,1.08,3.54,0.34,murders,0
Lafayettecity,CA,23501,1492.3,2.62,64806,17.18,4.16,2.24,12.66,murders,0
Wilmingtontown,MA,17651,993.9,3.18,52189,18.67,2.41,6.12,3.06,murders,1
SanDimascity,CA,32397,2015.2,2.96,50268,12.22,5.44,3.42,1.36,murders,0
Burtoncity,MI,27617,1135,2.64,29961,22.58,14.28,12.1,0.1,murders,2
Rockawaytownship,NJ,19572,448,2.83,56713,14.57,2.12,3.27,2.31,murders,0
PalmDesertcity,CA,23252,1177.7,2.19,37315,19.23,7.11,4.13,0.74,murders,4
Phoenixvilleborough,PA,15066,4062.2,2.4,31848,17.96,5.36,3.76,1.73,murders,0
Princetontownship,NJ,13198,777.1,2.55,62288,15.61,5.84,3.58,7.74,murders,0
Herculescity,CA,16829,2933.9,3.17,56098,8.85,2.1,4.37,6.35,murders,1
Wyckofftownship,NJ,15372,2265.3,3.04,75905,17.82,1.82,2.25,6.57,murders,0
LittleEggHarbortownship,NJ,13333,262,2.69,33961,22.74,4.36,7.85,1.73,murders,1
Teanecktownship,NJ,37825,6031.5,2.91,56598,14.24,3.51,4.72,15.82,murders,4
Edinburgcity,TX,29885,2043.6,3.53,18956,7.38,33.78,12.69,0.23,murders,2
PortHuenemecity,CA,20319,4428.7,3.02,33554,18.63,8.82,4.9,1.19,murders,3
Hammontontown,NJ,12208,285.6,2.77,34450,18.34,6.16,4.66,2,murders,0
WestMilfordtownship,NJ,25430,325.4,3.03,52734,10.2,4.67,4.49,2.46,murders,0
FallRivercity,MA,92703,2884.7,2.49,22452,17.42,14.28,9.93,1.96,murders,1
EggHarbortownship,NJ,24544,352.1,2.71,37594,11.91,4.58,4.51,1.76,murders,3
Lawndalecity,CA,27331,13345.2,2.96,34552,8.9,13.07,7.5,3.7,murders,2
Weatherfordcity,TX,14804,876.4,2.6,25208,15.54,15.45,5.21,0.47,murders,1
Manvilleborough,NJ,10567,4109.8,2.57,37664,25.96,4.33,4.13,1.22,murders,0
Mercedcity,CA,56216,3365.4,3.07,24727,14.41,25.06,9.99,0.59,murders,10
Yucaipacity,CA,32824,1195.2,2.46,27182,23.56,7.56,5.18,0.12,murders,5
Beevillecity,TX,13547,2142.2,2.89,19899,10.29,30.32,12.12,0,murders,0
WestSacramentocity,CA,28898,1331,2.61,23287,17.29,18.5,9.27,1.39,murders,5
BerkeleyHeightstownship,NJ,11980,1845.9,3.1,75122,18.39,1.96,2.7,9.63,robberies,1
Marpletownship,PA,23123,2186.7,2.82,47917,22.85,3.98,2.43,3.84,robberies,5
Norwoodtown,MA,28700,2643.5,2.6,42805,17.23,4.01,4.85,9.62,robberies,9
Wacocity,TX,103590,1319.3,2.62,17852,13.99,28.68,8.39,0.76,robberies,453
Shermancity,TX,31601,816.1,2.54,24763,15.2,15.61,7.19,0,robberies,71
SanPablocity,CA,25158,9387.3,2.89,25479,13.18,19.02,10.16,11.22,robberies,309
Glendalecity,CA,180038,5677.3,2.62,34372,11.51,14.37,6.95,4.15,robberies,355
Worthingtoncity,OH,14869,2552.7,2.67,49851,19.47,2.35,2.57,1.96,robberies,10
Arlingtoncity,TX,261721,2716.3,2.6,35048,9.12,8.21,4.99,0.14,robberies,710
Marinacity,CA,26436,2917.9,3.34,29043,15.99,9.67,3.5,1.93,robberies,42
Bellairecity,TX,13842,3697.1,2.35,45892,15.55,3.33,2.69,1.11,robberies,24
ElCajoncity,CA,88693,5943,2.7,28108,16.03,12.92,7.07,2.17,robberies,243
Laredocity,TX,122899,3608.7,3.84,18395,7.95,37.29,11.24,3.55,robberies,163
Oakdalecity,CA,11961,2853.3,2.71,27230,18.4,12.63,10.34,0,robberies,7
Norcocity,CA,23302,1641.4,4.17,51594,12.75,5.34,5.1,0.27,robberies,29
SanCarloscity,CA,26167,4486.8,2.37,54658,18.84,2.73,2.43,3.98,robberies,24
Barbertoncity,OH,27623,3513.5,2.49,21688,24.38,16.93,8.67,1.91,robberies,22
Pontiaccity,MI,71166,3434.7,2.87,21962,16.66,26.67,14.4,0.9,robberies,423
Bricktownship,NJ,66473,2441,2.66,38742,22.5,3.74,5.55,1.75,robberies,28
LagunaBeachcity,CA,23170,2575.6,2.09,53419,13.14,6.14,1.84,1.97,robberies,22
Robstowncity,TX,12849,1345.2,3.59,16180,9.2,37.04,12.26,1.23,robberies,3
Wyomingcity,MI,63891,2539,2.64,31103,13.42,7.07,5.13,0.59,robberies,116
BeverlyHillscity,CA,31971,5437.2,2.2,54348,9.02,6.6,3.8,4.31,robberies,281
UniversityHeightscity,OH,14790,7812.2,2.87,43376,12.64,2.9,4.65,5.81,robberies,14
Marioncity,OH,34075,4102.3,2.59,22439,16.99,16.85,10.98,1.01,robberies,37
Toledocity,OH,332943,3988.5,2.54,24819,18.44,19.09,9.92,3,robberies,1594
Philadelphiacity,PA,1585577,11326,2.63,24603,18.2,20.27,9.62,29.31,robberies,11531
Newtoncity,MA,82585,4413,2.8,59719,14.43,4.33,3.94,12.27,robberies,27
Beavercreekcity,OH,33626,1260.7,2.88,49143,21.15,3.51,3.13,0.34,robberies,20
Springfieldtownship,OH,13352,369.6,2.82,32713,24.43,8.79,5.41,0.2,robberies,38
Swissvaleborough,PA,10637,8564.4,2.16,23773,19.7,12.53,6.62,16.83,robberies,18
ScotchPlainstownship,NJ,21160,2250.1,2.79,58194,16.17,1.49,3.75,7.6,robberies,12
WhiteLaketownship,MI,22608,648.8,2.91,42549,13.94,4.36,6.2,0.18,robberies,3
Gallowaytownship,NJ,23330,249.1,2.94,41944,12.87,4.35,4.1,1.66,robberies,10
Sweetwatercity,TX,11967,1329.7,2.62,19157,11.19,23.02,8.51,0.58,robberies,9
Hulltown,MA,10466,3397.6,2.76,37683,13.67,8.02,7.31,8.66,robberies,0
Scotttownship,PA,17118,4180.8,2.29,34644,20.56,4.13,3.05,11.76,robberies,2
Pittsfieldtownship,MI,17668,606.6,2.52,34639,7.36,9.33,3.78,2.48,robberies,43
Duncanvillecity,TX,35748,3057.5,2.86,41028,12.66,3.78,4.57,0.89,robberies,56
NewProvidenceborough,NJ,11439,3001.1,2.7,62420,18.5,2.45,2.71,7.98,robberies,3
Barnstabletown,MA,40949,658.2,2.47,33411,22.03,6.78,7.22,1.18,robberies,29
Rutherfordborough,NJ,17790,6118.4,2.66,46499,18.89,3.68,4.17,18.82,robberies,5
Torrancecity,CA,133107,6260.9,2.53,47204,14.75,5.15,3.95,1.53,robberies,430
RedwoodCitycity,CA,66072,3349.1,2.59,42962,14.76,8.3,3.82,3.85,robberies,106
Lancastertownship,PA,13187,2104.5,2.47,35855,21.23,6.27,3.31,1.68,robberies,7
Redlandscity,CA,60394,2398.1,2.75,37073,18.12,8.98,4.78,0.37,robberies,150
Dublincity,CA,23229,2618.2,3.42,53710,11.37,4.23,3.52,2.12,robberies,16
Breacity,CA,32873,3178,2.69,51253,13.79,3.55,3.31,0.75,robberies,51
Princetonborough,NJ,12016,6306.9,3.68,43092,15.66,9.64,3.21,5.17,robberies,4
Sturgiscity,MI,10130,1925.9,2.56,23642,17.03,11.86,5.25,0.09,robberies,2
Jeffersontownship,NJ,17825,422.4,2.82,48889,14.05,2.43,2.94,2.22,robberies,1
Woodlandcity,CA,39802,4187.9,2.8,31671,13.9,9.59,7.85,0.6,robberies,32
NorthBrunswicktownship,NJ,31287,2508.1,2.71,49900,12.25,2.67,3.08,8.09,robberies,42
Springfieldcity,OH,70487,3485.1,2.59,21407,20.99,20.87,8.74,1.06,robberies,208
Corsicanacity,TX,22911,1062.7,2.67,21238,15.38,21.04,8.15,0.19,robberies,38
Woostercity,OH,22191,1813.5,2.58,27148,16.65,12.69,5.93,0.91,robberies,7
LosAngelescity,CA,3485398,7168.1,2.86,30925,10.5,18.86,8.34,10.92,robberies,38415
Harrisontown,NJ,13425,10587.5,2.76,33969,15.48,11.55,7.53,17.27,robberies,33
Swanseatown,MA,15411,644.9,2.93,40117,20.65,4.92,4.6,0.39,robberies,16
Monroecity,MI,22902,2458.4,2.72,29088,17.67,15.39,7.38,0.5,robberies,22
Madisontownship,OH,18749,401.2,2.9,35575,18.25,4.1,4.98,1,robberies,2
Seasidecity,CA,38901,4254.3,3.66,28655,16.08,12.22,4.37,3.56,robberies,121
Grapevinecity,TX,29202,901.6,2.66,48901,8.25,4.24,3.09,0.28,robberies,15
WestChesterborough,PA,18041,9469.3,2.95,31262,12.91,17.07,5.7,2.39,robberies,29
Eatontownborough,NJ,13800,2251.7,2.54,36864,16.48,5.14,4.16,2.34,robberies,13
AnnArborcity,MI,109592,4085,2.63,33344,10.07,16.08,3.81,5.7,robberies,129
Salemcity,OH,12233,2570,2.44,23684,20.07,13.85,5.19,0.1,robberies,0
UnionCitycity,NJ,58012,44229.9,2.81,25655,9.8,18.18,10.87,27.8,robberies,287
FosterCitycity,CA,28176,7232,2.51,60462,11.54,2.95,3.4,3.93,robberies,17
Flintcity,MI,140761,4015.8,2.61,20176,19.86,30.58,18.29,2.43,robberies,1039
NewBrunswickcity,NJ,41711,7709.4,3.28,28289,11.84,21.96,8.85,12.35,robberies,311
EastPaloAltocity,CA,23451,8883,3.37,29206,11.1,17.55,10.6,8.38,robberies,194
LeagueCitycity,TX,30159,566.3,2.85,45043,8.14,4.92,3.09,1.2,robberies,14
Astontownship,PA,15080,2534.6,2.93,44083,19.82,3.15,3.4,1.82,robberies,6
GloucesterCitycity,NJ,12649,5549.8,2.75,28998,21.51,9.18,5.92,3.17,robberies,7
Shalertownship,PA,30533,2653.4,2.63,36972,20.91,2.95,3.8,6.1,robberies,4
Goshentownship,OH,12697,355.3,2.99,31617,13.23,8.41,5.71,0.78,robberies,1
Chestercity,PA,41856,8345.8,2.88,20864,16.98,25.16,12.4,12.81,robberies,538
Dallascity,TX,1006877,2838.4,2.5,27489,9.85,17.97,7.43,6.68,robberies,7420
CulverCitycity,CA,38793,7336,2.4,42971,13.44,6.68,4.13,4.33,robberies,305
Readingcity,PA,78380,7732.5,2.5,22112,17.34,19.41,8.63,7.29,robberies,555
Richmondcity,CA,87425,2838.8,2.67,32165,17.29,16.1,9.43,13.14,robberies,977
Methuentown,MA,39990,1722.8,2.73,37701,19.94,7.2,7.65,1.8,robberies,43
Nortoncity,OH,11475,552.6,2.8,34198,20.1,5.4,5.33,0.27,robberies,5
Missioncity,TX,28653,1990.9,3.45,17489,15.65,37.33,12.14,0.42,robberies,12
Middletownship,NJ,14771,200,2.76,30524,19.68,7.99,7.94,1.23,robberies,3
MountLaureltownship,NJ,30270,1339.6,2.56,50843,13.62,1.99,2.55,3.5,robberies,10
CostaMesacity,CA,96357,5980.4,2.57,40313,10.28,9.17,4.17,3.03,robberies,184
LosAlamitoscity,CA,11676,2798.7,2.84,45171,15.78,4.38,4.24,0.15,robberies,18
SouthOrangeVillagetownship,NJ,16390,5529.7,3.17,64338,14.6,3.03,3.64,14.68,robberies,82
RedBluffcity,CA,12363,1641.4,2.57,19474,15.89,20.41,9.88,0,robberies,16
Colleyvillecity,TX,12724,937,3.11,77530,12.08,1.25,3.12,0.27,robberies,1
Pittsburgcity,CA,47564,4222.7,3.04,38532,14.42,10.79,7,4.53,robberies,199
MissionViejocity,CA,72820,4027.7,2.89,61058,13.66,1.96,2.9,0.62,robberies,32
LongBeachcity,CA,429433,8287.7,2.7,31938,13.73,16.82,6.54,6.3,robberies,3717
Coronacity,CA,76095,2579.1,3.18,43555,11.97,8.31,5.76,0.73,robberies,237
Beverlycity,MA,38195,2388,2.58,39603,17.89,6.62,5.42,5.14,robberies,14
Geneseetownship,MI,24093,791.2,2.74,30160,24.08,13.77,11.36,0.51,robberies,15
SanBrunocity,CA,38961,5846.5,2.66,42019,15.36,4.77,4.12,6.3,robberies,55
PortLavacacity,TX,10886,1642.4,2.88,21946,14.01,20.44,9.97,0.24,robberies,8
Alicecity,TX,19788,1631.1,3.11,18962,10.69,28.5,9.97,0.24,robberies,10
Coronadocity,CA,26540,3324.1,3.62,47790,25.71,4.07,1.71,6.26,robberies,19
LaPalmacity,CA,15392,8169.9,3.2,54364,12.34,5.89,2.5,0.67,robberies,16
Dinubacity,CA,12743,4583.8,3.41,22032,12.07,22.58,14.95,0,robberies,10
Bernardstownship,NJ,17199,691.9,2.71,70000,13.47,1.52,2.86,5.87,robberies,0
Clearlakecity,CA,11804,1101.9,2.28,16600,23.99,22.15,12.8,0.57,robberies,18
Fremontcity,OH,17648,2753.9,2.65,25385,16.11,14.66,10.08,0.53,robberies,16
Midlandcity,MI,37819,1341.7,2.57,39087,17.36,9.26,4.97,0.29,robberies,10
Lebanoncity,OH,10453,1087.9,2.62,27095,16.84,8.65,1.93,0.14,robberies,9
Pariscity,TX,24699,876.6,2.52,18743,16.49,25.43,8.5,0,robberies,42
Hawthorneborough,NJ,17084,4854.5,2.5,43109,17.26,3.42,3.95,3.69,robberies,5
DeSotocity,TX,30544,1365.5,2.84,45550,10.73,3.98,4.11,0.78,robberies,33
Raritantownship,NJ,15616,398.2,2.83,61524,10.99,2.31,2.46,1.55,robberies,1
TraverseCitycity,MI,15116,1838.9,2.45,27373,16.77,8.7,4.19,0.83,robberies,2
Rockwallcity,TX,10486,690.4,2.69,44130,13.46,7.64,4.58,0.56,robberies,10
LowerAllentownship,PA,15254,1431.1,2.6,37461,26.81,3.65,2.17,1.1,robberies,4
Willingborotownship,NJ,36291,4547.1,3.29,47121,25.01,4.47,5.61,4.94,robberies,34
RidgefieldParkvillage,NJ,12454,6943.6,2.51,42464,13.84,5.1,4.59,12.87,robberies,2
Emmetttownship,MI,10764,322.2,2.62,30200,18.77,11.94,8.18,0,robberies,16
Hinghamtown,MA,19821,851.4,2.87,60274,17.1,2.64,5.9,9.33,robberies,4
Butlertownship,PA,17625,788.6,2.58,31503,26.6,7.56,5.17,0.26,robberies,1
Lindencity,NJ,36701,3278.7,2.55,35911,20.49,5.63,6.69,5.81,robberies,90
Kalamazoocity,MI,80277,3153.6,2.73,23207,13.75,26.23,9.17,2.49,robberies,248
Westfieldtown,NJ,28870,4138.5,2.81,66760,15.18,1.79,2.99,11.58,robberies,9
GrandTerracecity,CA,10946,3047.3,2.84,45127,16.48,3.64,4.24,0.66,robberies,19
Carsoncity,CA,83995,4303,3.53,43882,17.22,6.95,7.17,2.42,robberies,340
Berkeleytownship,NJ,37319,839.6,2.12,23028,45.51,4.57,7.32,1.92,robberies,5
Hilliardcity,OH,11796,1320.6,2.81,36415,12.91,4.18,4.05,0.51,robberies,4
Greenfieldtown,MA,18666,829.1,2.43,26680,17.95,11.93,5.91,0.74,robberies,15
Lomitacity,CA,19382,9868.6,2.46,36222,14.17,10.68,4.7,2,robberies,43
RedondoBeachcity,CA,60167,9250.8,2.25,51913,10.17,5.59,3.38,1.41,robberies,145
Mariettacity,OH,15026,1885,2.53,20950,19.38,17.68,6.82,0.95,robberies,8
LaPuentecity,CA,36955,10219.9,4.1,33273,11.83,14.02,9.23,5.22,robberies,171
WalnutCreekcity,CA,60569,3028.4,2.14,45529,23.06,3.81,3.27,12.57,robberies,42
UpperDarbytownship,PA,81177,9963.3,2.48,32356,19.91,6.99,4.78,15.22,robberies,93
Hollistercity,CA,19212,3283,3.26,32857,13.51,11.71,10.99,0.28,robberies,21
SaddleBrooktownship,NJ,13296,4712.2,2.72,46082,19.05,3.77,5.56,4.4,robberies,7
Quincycity,MA,84985,4887.1,2.38,35858,19.09,6.82,6.92,18.15,robberies,64
YubaCitycity,CA,27437,3832,2.59,23491,17.12,18.56,11,0.25,robberies,44
Denvilletownship,NJ,13812,1101.5,2.83,59724,18.09,2.06,2.73,3.73,robberies,2
Perriscity,CA,21460,697.7,3.19,28611,14.71,15.73,9.73,0.51,robberies,129
Lakewoodcity,OH,59718,10393,2.21,28791,14.95,8.5,4.87,10.17,robberies,44
Zanesvillecity,OH,26778,2482.6,2.48,17658,19.11,25.86,13.05,1.28,robberies,40
Muhlenbergtownship,PA,12636,1047.1,2.51,32979,27.59,5.71,3.05,0.75,robberies,8
RiverEdgeborough,NJ,10603,5428.5,2.6,52126,21.48,2.38,2.93,16.12,robberies,3
MorenoValleycity,CA,118779,2333.6,3.4,42186,13.92,8.36,7.31,0.91,robberies,523
Ramseyborough,NJ,13228,2304.4,2.84,65590,13.94,2.46,3.75,8.34,robberies,3
CopperasCovecity,TX,24079,2479.3,2.98,24596,21.81,11.97,7.81,0.16,robberies,13
Ketteringcity,OH,60569,3134.5,2.32,34506,22.5,4.17,3.09,1.84,robberies,44
Dumontborough,NJ,17187,8359.4,2.78,48776,19.15,3.26,4.09,10.52,robberies,2
Novicity,MI,32998,1046,2.6,47518,13.19,3.26,3.9,0.24,robberies,8
Xeniacity,OH,24664,2657.8,2.73,25508,18.56,15.49,7.43,0.32,robberies,19
Troycity,OH,19478,2189.3,2.55,29032,18.56,9.83,4.52,0.55,robberies,11
Melrosecity,MA,28150,5784.6,2.57,44109,19.44,4.23,4.8,15.95,robberies,9
Paradisetown,CA,25408,1315.7,2.3,22954,30.05,11.13,7.48,0.57,robberies,3
Nilescity,MI,12456,2336.1,2.41,23700,17.29,13.67,5.19,0.64,robberies,19
AgouraHillscity,CA,20390,2410.2,3.08,70919,6.73,3.53,3.61,0.62,robberies,10
Greenvillecity,TX,23071,936.9,2.64,25075,14.1,16.85,6.29,0.29,robberies,62
Burlingamecity,CA,26801,5955.8,2.17,42487,16.3,4.69,2.8,7.7,robberies,23
Haddontownship,NJ,14837,5324,2.38,36215,22.77,3.75,2.28,11.79,robberies,25
Burkburnettcity,TX,10145,1028.9,2.69,25943,21.07,13.93,8.04,0,robberies,1
Harrisburgcity,PA,52376,6234.9,2.43,20329,17.42,27.02,10.31,12.67,robberies,539
Lancastercity,TX,22117,732.4,2.87,31489,11.09,10.06,5.42,0.52,robberies,29
Lodiborough,NJ,22355,9533.9,2.49,33311,15.38,6.12,7.04,6.03,robberies,8
Detroitcity,MI,1027974,7153,2.75,18742,17.52,32.41,19.67,10.57,robberies,13591
Visaliacity,CA,75636,3107.5,2.9,29463,13.18,17.62,6.83,0.8,robberies,167
Oxfordtown,MA,12588,456.3,2.8,36682,13.85,4.51,6.67,0.55,robberies,3
Andrewscity,TX,10678,2163.3,2.98,26136,14.51,16.11,7.12,0,robberies,1
Seguincity,TX,18853,1534.3,2.97,19970,15.84,27.8,8.74,0,robberies,25
Hawthornecity,CA,71349,11605.2,2.63,30967,9.61,13.92,6.89,5.13,robberies,895
Pennsvilletownship,NJ,13794,576.4,2.6,38025,22.84,6.1,3.62,1.1,robberies,4
Melvindalecity,MI,11216,3905.3,2.4,26179,22.55,12.12,8,1.63,robberies,25
SanJacintocity,CA,16210,1477.4,2.69,20810,21.93,15.96,8.24,0.48,robberies,20
Sacramentocity,CA,369365,3702.5,2.56,28183,16.66,17.21,7.6,4.1,robberies,2310
Scrantoncity,PA,81805,3131.4,2.51,21060,20.07,15.22,6.55,3.02,robberies,86
Centertownship,PA,10742,673.2,2.77,34978,27.37,4.07,4.72,0.33,robberies,2
CityofOrangetownship,NJ,29925,13083.7,2.58,27301,14.13,17.8,9.74,19.92,robberies,398
SouthGatecity,CA,86284,11329.3,3.85,27279,11.36,17.44,10.81,8.02,robberies,589
FortWorthcity,TX,447619,1537.2,2.66,26547,13.58,17.42,7.43,1.65,robberies,2750
Oceantownship,NJ,25058,2190.2,2.71,46885,15.48,3.2,4.61,3.56,robberies,27
Harvardtown,MA,12329,451.5,4.14,47299,6.89,3.88,1.66,13.49,robberies,0
NewportBeachcity,CA,66643,4589.7,2.16,60374,12.76,5.67,3.01,0.95,robberies,42
Martinezcity,CA,31808,2740.2,2.54,45964,14.69,5.95,4.07,6.08,robberies,33
Montclairtownship,NJ,37729,5776.7,2.6,52442,15.01,6.03,5.41,19.72,robberies,70
